Fund,Primary Location,Investment Sectors,Fund Type,Current Fund Size,Stage Invested,Average check size,State (if U.S.),Investment Geography,Info,URL,Linkedin,Country
Blackstone Growth Equity (BXG),New York,"AgTech,Apparel,Consumer,Fitness,Food,Fashion,Health,Lifestyle,Marketplaces,Travel,Wellness,Diversity,Esports,Influencer Network,Manufacturing,PetTech,Retail,Sustainability",Institutional Venture Capital (VC),"$3-4BN, $3BN",Growth,"$50-$500MM, $200MM",NY,Globally,,https://www.blackstone.com/our-businesses/private-equity/,https://www.linkedin.com/company/blackstone,United States
Blackstone Innovations Investments,New York,"Fintech,PropTech,Cyber,Enterprise","Corporate Venture Capital (CVC),Institutional Venture Capital (VC)",,"Series A,Series B",$5-15MM,NY,Globally,,https://www.blackstone.com/our-businesses/innovation/,https://www.linkedin.com/company/cavu-consumer-partners,United States
Blisce,New York,"Consumer,Technology,Clean Tech,All Sectors","Growth Equity,Family Office,Institutional Venture Capital (VC)",,"Growth,Series B,Series A","$10-30MM, $6MM - $50MM",NY,"Europe,United States",,https://blisce.com/,https://www.linkedin.com/company/centana-growth-partners,United States
Blocktower Capital,New York,Crypto,Institutional Venture Capital (VC),$1BN,"PreSeed,Seed,Series A","$2M-$4M, $500K",NY,,,https://blocktower.com/,https://www.linkedin.com/company/centare,United States
Bloomberg Beta,New York,"Data,Content,Community,Networks,Platforms,Digital Media,SaaS,AI/ML,Future of Work,Analytics,Care Economy,Communication,Cyber,Data Services,Design,DevOps,Diversity,Enterprise,Female Founders,Infrastructure,Marketplaces,Martech,Workforce,Technology,Security","Institutional Venture Capital (VC),Corporate Venture Capital (CVC)","$75MM, $75M","PreSeed,Seed","Less than $250k,
 $250-500k,
 $500-$1MM,
 $1-3MM, $1M",NY,United States,,https://www.bloombergbeta.com/,https://www.linkedin.com/company/chai-ventures-nyc,United States
Blue 9 Capital,New York,All Sectors,Family Office,,"Seed,Series A,Series B,PreSeed",$1MM,NY,North America,,https://www.blue9capital.com/,https://www.linkedin.com/company/chasing-rainbows-vc,United States
Blue Cloud Ventures,New York,"AI/ML,Big Data,Cloud,Data Services,Enterprise,DevOps,Infrastructure,Martech,SaaS",Growth Equity,Investing out of $350 MM Fund IV,"Series B,Growth",$5-25MM,NY,Globally,,https://www.bluecloudventures.com/,https://www.linkedin.com/company/chloecapital,United States
Blue Collective,New York,All Sectors,Institutional Venture Capital (VC),,"PreSeed,Seed",$250k-2MM,NY,United States,,https://www.bluecollective.com/,https://www.linkedin.com/company/citi,United States
Blue Ivy Ventures,New York,All Sectors,Institutional Venture Capital (VC),,"Seed,Growth,Series A,Series B",$100k-3MM,NY,"Globally,North America",,https://www.blueivyventures.com/,https://www.linkedin.com/company/city-light-capital,United States
Blue9 Capital,New York,All Sectors,Family Office,$100MM,"Seed,Series A,Series B",$1.5MM,NY,North America,,https://www.blue9capital.com/,https://www.linkedin.com/company/clear-ventures,United States
Bowery Capital,New York,"Enterprise,Technology",Institutional Venture Capital (VC),$60MM,"Seed,PreSeed","$500-$1MM, $1-2MM",NY,North America,,https://bowerycap.com/,https://www.linkedin.com/company/closed-loop-partners,United States
BoxGroup,New York,All Sectors,Institutional Venture Capital (VC),$212.5MM,"PreSeed,Seed","Less than $250k,
 $250k-500k, $750k",NY,"North America,Europe",We fund pre-seed/seed so always happy to meet with early founders,https://www.boxgroup.com/,https://www.linkedin.com/company/cmfg-ventures,United States
Braemar Energy Ventures,New York,"Clean Tech,3D Printing,Deep Tech,Energy,Manufacturing,Mobility,UrbanTech,IoT",Institutional Venture Capital (VC),$300MM,Series A,$5MM,NY,,,https://www.braemarenergy.com/,https://www.linkedin.com/company/coefficient-capital,United States
Brewer Lane Ventures,New York,"Fintech,Health,Insurtech,PropTech,Data,SaaS",Institutional Venture Capital (VC),$210MM,"Series A,Series B",$5MM-$10MM,NY,United States,,https://www.brewerlane.com/,https://www.linkedin.com/company/cohen-circle,United States
Bright Ventures,New York,"Workforce,AI/ML,AR/VR,Civic Tech,Commerce,Enterprise,Diversity,All Sectors,Consumer,Mobility,Fintech,Health,Future of Work",Institutional Venture Capital (VC),$30MM (Target),"Seed,PreSeed","$535k, $350k",NY,United States,,https://www.brightventures.com/,https://www.linkedin.com/company/coinfund,United States
Brighton Park Capital,"New York,Greenwich","Technology,Healthcare,Commerce,Community,Creator Economy,Content,Enterprise,Logistics,Marketplaces,Martech,Media,SaaS,Supply Chain,Travel,AI/ML,Health Care Services,Software,Data,Data Services,Fintech,Health,Mental Health,Biopharma,Life Sciences,Analytics,Big Data,DevOps,Deep Tech,HRTech,IoT,Workforce",Growth Equity,"$1.7Bn, $2BN, $4B, $1.8BN, $2.9BN","Growth,Series B","$50-150MM, $50M - $200M, $100M-$150M, $40-$200, $100MM, $50MM - $150MM, $30MM - $300MM","NY,CT","Globally,North America,United States,Europe,Asia","Prior to Brighton Park Capital,  I was in the Healthcare team at Arsenal Capital Partners",https://www.brightonparkcapital.com,https://www.linkedin.com/company/coinshares,United States
Broadway Women's Fund,New York,Entertainment,Impact Fund,,Seed,$50k,NY,,,https://www.broadwaywomensfund.com,https://www.linkedin.com/company/collab-currency,United States
Brookfield Technology Partners,"San Francisco Bay Area,New York","PropTech,Transportation,Logistics,Energy,Communication,Enterprise,Software,Healthcare,Food,AgTech,Security,Cyber,Future of Work,Industrial,Infrastructure,Retail,Workforce,All Sectors,Cloud,Construction Tech,Fintech,HRTech","Corporate Venture Capital (CVC),Growth Equity",$1BN,"Growth,Series B","~$25-$75M, $25-$100M","CA,NY",Globally,,https://www.brookfield.com/our-businesses/technology,https://www.linkedin.com/company/collaborative-fund,United States
Bullish,New York,Consumer,Institutional Venture Capital (VC),"$60M, $50MM","PreSeed,Seed,Series A","$350k, $500K-$1.5M, $500K-$1MM+",NY,"North America,United States",,https://www.bullish.com,https://www.linkedin.com/company/colle-capital-partners,United States
Camber Creek,"Washington DC,Chicago,New York","PropTech,Construction Tech,IoT,Future of Work,AI/ML",Institutional Venture Capital (VC),$325M,"Series A,PreSeed,Series B,Seed","$4-6MM, $5MM, $2M-$20M, N/A","DC,IL,NY","Globally,United States",,https://www.cambercreek.com,https://www.linkedin.com/company/comcast-ventures,United States
Canaan Partners,"New York,San Francisco Bay Area","Healthcare,Life Sciences,Manufacturing,Health,Consumer,Commerce,Future of Work,Mobile,SaaS,Biotech,Enterprise,Security,Marketplaces",Institutional Venture Capital (VC),"$800MM, $650MM, $675MM","Seed,Series A,Series B","$2-20MM, $2MM-$20MM, $500-$2MM
 $3-6MM,
 $7-10MM+, $500k-$2MM, $3MM-$6MM, $7MM-$10MM+, $500k-$2MM
 $3MM-6MM,
 $7MM-10MM+","CA,NY","North America,Europe,LatAm",,https://www.canaan.com,https://www.linkedin.com/company/commonfund,United States
Capital A Partners,New York,"Mobility,IoT,AR/VR,AI/ML",Institutional Venture Capital (VC),$60MM,Series A,$1-$3MM,NY,,,https://www.capitalapartners.com,https://www.linkedin.com/company/community-development-venture-capital-alliance,United States
Carbon6 VC,New York,"Healthcare,Wellness,Consumer,Female Founders",Institutional Venture Capital (VC),,"Growth,Series B",$5-10MM,NY,,,https://www.carbon6.vc,https://www.linkedin.com/company/companyon-ventures,United States
Carica Sustainable Investments,New York,"AgTech,Clean Tech,Sustainability,Transportation,Food","Family Office,Growth Equity",$200MM,"Growth,Series B",$15MM,NY,Globally,Our website is https://www.caricapartners.com/,https://www.caricasustainable.com,https://www.linkedin.com/company/concord-health-partners,United States
Carta Venture Capital,New York,Technology,Other,,Growth,N/A,NY,,,https://www.carta.com,https://www.linkedin.com/company/concrete-rose-capital,United States
CASSIUS Family,New York,"Consumer,Content,Commerce,Music,Entertainment",Institutional Venture Capital (VC),$50MM,Seed,$1.5MM,NY,"North America,Europe",,https://www.cassiusfamily.com,https://www.linkedin.com/company/connecticut-innovations,United States
Catalyst Investors,"New York,Boston","Data Services,AgTech,Big Data,Analytics,Construction Tech,Cloud,Data,DevOps,Health Care Services,Enterprise,Fintech,Future of Work,Insurtech,PropTech,SaaS,Technology,Supply Chain,Security,Risk Management,Martech,All Sectors","Institutional Venture Capital (VC),Growth Equity","$373MM, $200MM, $190MM","Growth,Series B,Series A","$15-40MM, $10MM-$20MM, $15MM-$20MM",NY,"United States,North America,Europe,Globally",B2B investing,https://www.catalyst.com,https://www.linkedin.com/company/conversion-capital,United States
Catalytic Impact Foundation,New York,"Biopharma,Biotech,Diagnostics,Femtech,Female Founders,Health,Healthcare,Health Care Services,Life Sciences,Medtech,Mental Health","Foundation,Accelerator Fund,Evergreen Fund,Impact Fund","$14MM, $10MM","PreSeed,Seed,Series A","$50K-$500K, $100k",NY,"North America,Globally,United States,Europe",,https://www.catalyticimpact.org,https://www.linkedin.com/company/copper-wire-ventures,United States
CAVU Venture Partners,New York,Consumer,"Growth Equity,Institutional Venture Capital (VC)",,"Growth,Series A",$25M,NY,,,https://www.cavuventures.com,https://www.linkedin.com/company/cavu-consumer-partners,United States
Centana Growth Partners,"San Francisco Bay Area,New York","Fintech,Security,Risk Management,Enterprise,Cyber,Insurtech,PropTech",Growth Equity,$375MM,"Series A,Series B,Growth","$20MM, $25MM, $10MM - $40MM","CA,NY","Globally,United States",,https://www.centanagrowth.com,https://www.linkedin.com/company/centana-growth-partners,United States
Centares,New York,"Travel,Transportation,PropTech,Mobility",Institutional Venture Capital (VC),$1.7BN,"Growth,Series B,Series A",,NY,Globally,,https://www.centares.com,https://www.linkedin.com/company/centare,United States
Chai Angels,New York,All Sectors,,,"PreSeed,Seed",$100K,NY,Globally,"Investing in pre-seed and seed stage women-led companies across the high growth sectors of wellness,  human connection,  and better world at Chai Ventures.",https://www.chaiangels.com,https://www.linkedin.com/company/chai-ventures-nyc,United States
Chasing Rainbows,New York,"All Sectors,Healthcare,Fintech,Education,Sustainability",Impact Fund,$2MM,"PreSeed,Seed",$50k,NY,Globally,,https://www.chasingrainbows.vc,https://www.linkedin.com/company/chasing-rainbows-vc,United States
Chloe Capital,"New York,Ithaca,Miami",All Sectors,"Institutional Venture Capital (VC),Impact Fund","$25M, $25MM","PreSeed,Seed,Series A","Less than $250k, $100k, $100k - $250k","NY,FL","Globally,North America","a Movement-driven venture capital firm that invests in women-led innovation companies. Join Us to #InvestInWomen at ChloeCapital.com, http://chloecapital.com, Open to collaboration and partnerships.",https://www.chloecapital.com,https://www.linkedin.com/company/chloecapital,United States
Citi,"New York,San Francisco Bay Area","Workforce,Infrastructure,Sustainability,Fintech,Diversity,AgTech,Clean Tech,Data,Enterprise,Education,Energy,Future of Work,Blockchain,AI/ML,Crypto,Risk Management,SaaS,Platforms,All Sectors","Impact Fund,Corporate Venture Capital (CVC)",$200MM,"Seed,Series A,Series B,Growth","$2-5MM, $500K, $2MM, $3MM","NY,CA","North America,Globally",,https://www.citigroup.com,https://www.linkedin.com/company/citi,United States
City Light Capital,New York,"Energy,Clean Tech,Education,Health Care Services,Healthcare,Mental Health,Sustainability,Future of Work,Health,Social Impact,Supply Chain,Workforce","Institutional Venture Capital (VC),Impact Fund",$100MM,"PreSeed,Seed,Series A,Series B","$2MM, $3MM, $75k for smaller fund, $2m for larger fund",NY,United States,,https://www.citylight.vc,https://www.linkedin.com/company/city-light-capital,United States
Clear Ventures,New York,"AI/ML,Analytics,Big Data,Cyber,Data,Data Services,Deep Tech,DevOps,Enterprise,Frontier Tech,Networks,SaaS,Technology,Software,Platforms",Institutional Venture Capital (VC),$335MM,"PreSeed,Seed,Series A",$2MM,NY,United States,,https://www.clear.ventures,https://www.linkedin.com/company/clear-ventures,United States
Closed Loop Ventures,New York,"Clean Tech,Hardware,Logistics,AgTech,Fashion,Infrastructure,Materials,Apparel,Civic Tech,Manufacturing,Food,Supply Chain,Sustainability,Beauty,AI/ML,Consumer,Deep Tech,Energy,Platforms,Robotics","Institutional Venture Capital (VC),Impact Fund",~$60M,"PreSeed,Seed,Series A","$250-500k, $500K-$1M",NY,Globally,,https://www.closedloop.vc,https://www.linkedin.com/company/closed-loop-partners,United States
CMFG Ventures,New York,"Commerce,Diversity,Fintech,Future of Work,Insurtech",Corporate Venture Capital (CVC),$400MM,"Seed,Series A,Series B,Growth",$2.5MM,NY,"North America,Europe",,https://www.cmfgventures.com,https://www.linkedin.com/company/cmfg-ventures,United States
Coefficient Capital,New York,"Consumer,Lifestyle,Fitness,Food,Fashion,Content,Marketplaces,PetTech,Community,Platforms,Technology,Wellness,Apparel,Beauty,Creator Economy,Retail","Institutional Venture Capital (VC),Growth Equity","$150MM, $170M","Series A,Series B,Growth","$3-9MM, $5-15MM, $5M-$30M",NY,"Europe,United States",,https://www.coefficientcapital.com,https://www.linkedin.com/company/coefficient-capital,United States
Cohen Circle,"New York,Philadelphia","Fintech,AI/ML,Insurtech,PropTech,Technology,Health,Healthcare,Clean Tech,Cyber,Data,Diversity,Future of Work,Medtech,Platforms,Risk Management,SaaS,Security,Social Impact,Software,Sustainability,Health Care Services","Impact Fund,Institutional Venture Capital (VC),Growth Equity",,"Growth,Series B,Series A","$2MM, $5MM-$25MM, $5MM - $15MM","NY,PA","United States,Europe,Globally",Our impact fund - Radiate Capital- will be a joint effort between Cohen Circle and 2 visionary female leaders. We do not yet have a linkedin page.,https://www.cohencircle.com,https://www.linkedin.com/company/cohen-circle,United States
CoinFund,"New York,Other","Crypto,Web3,Blockchain","Growth Equity,Institutional Venture Capital (VC),Other","$160MM, $157MM","Growth,Series A,Seed,PreSeed","Varies, $5MM, $3MM","NY,CA",Globally,,https://www.coinfund.io,https://www.linkedin.com/company/coinfund,United States
CoinShares,New York,"Blockchain,Fintech,Security,Big Data,Analytics",Institutional Venture Capital (VC),$50MM,"PreSeed,Seed,Series A",Less than $250k,NY,,,https://www.coinshares.com,https://www.linkedin.com/company/coinshares,United States
Collab+Currency,New York,"Crypto,Web3",Institutional Venture Capital (VC),,"Seed,PreSeed",$250K - $2M,NY,Globally,,https://www.collabcurrency.com,https://www.linkedin.com/company/collab-currency,United States
Collaborative Fund,"Miami,New York",All Sectors,"Institutional Venture Capital (VC),Growth Equity",,"PreSeed,Seed,Series A,Series B,Growth","$1MM, $2MM-$10MM","FL,NY","United States,LatAm,Europe,North America,Globally",,https://www.collaborativefund.com,https://www.linkedin.com/company/collaborative-fund,United States
Colle Capital Partners,New York,"AI/ML,Consumer,Fintech,Insurtech,Logistics,Marketplaces,Healthcare",Institutional Venture Capital (VC),,"Seed,Series A",,NY,Globally,,https://www.collecapital.com,https://www.linkedin.com/company/colle-capital-partners,United States
Comcast Ventures,"New York,Philadelphia",All Sectors,Corporate Venture Capital (CVC),"We invest in Seed through Series B with check sizes anywhere from 500K to 7.5M., NA (CVC)","Seed,Growth,Series A,Series B","$5M, $500K to $7.5MM, $2MM - $4MM, $5MM, $3MM-$6MM","NY,PA","United States,Globally,North America",,https://www.comcastventures.com,https://www.linkedin.com/company/comcast-ventures,United States
